state,week,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,response,percentage
Alabama,1,1.1194029850746268,3.316326530612245,2.5,2.1459227467811157,3.053435114503817,2.464788732394366,1.550387596899225,3.1722054380664653,Anxiety,18.69807497467072
Alabama,1,1.1194029850746268,3.316326530612245,2.5,2.1459227467811157,3.053435114503817,2.464788732394366,1.550387596899225,3.1722054380664653,Depression,16.181357649442756
Alabama,1,1.1194029850746268,3.316326530612245,2.5,2.1459227467811157,3.053435114503817,2.464788732394366,1.550387596899225,3.1722054380664653,Covid Cases,0.0579110784529927
Alabama,1,1.1194029850746268,3.316326530612245,2.5,2.1459227467811157,3.053435114503817,2.464788732394366,1.550387596899225,3.1722054380664653,Covid Deaths,0.11368641372067
Alabama,1,1.1194029850746268,3.316326530612245,2.5,2.1459227467811157,3.053435114503817,2.464788732394366,1.550387596899225,3.1722054380664653,Negative,2.380952380952381
Alabama,1,1.1194029850746268,3.316326530612245,2.5,2.1459227467811157,3.053435114503817,2.464788732394366,1.550387596899225,3.1722054380664653,Positive,3.0303030303030303
Alaska,1,6.498194945848375,4.696132596685083,3.636363636363636,7.096774193548387,5.422993492407809,7.587548638132296,6.666666666666667,4.73559589581689,Anxiety,13.55677454744926
Alaska,1,6.498194945848375,4.696132596685083,3.636363636363636,7.096774193548387,5.422993492407809,7.587548638132296,6.666666666666667,4.73559589581689,Depression,11.401535929786068
Alaska,1,6.498194945848375,4.696132596685083,3.636363636363636,7.096774193548387,5.422993492407809,7.587548638132296,6.666666666666667,4.73559589581689,Covid Cases,0.0240416430271193
Alaska,1,6.498194945848375,4.696132596685083,3.636363636363636,7.096774193548387,5.422993492407809,7.587548638132296,6.666666666666667,4.73559589581689,Covid Deaths,0.0992312305763045
Alaska,1,6.498194945848375,4.696132596685083,3.636363636363636,7.096774193548387,5.422993492407809,7.587548638132296,6.666666666666667,4.73559589581689,Negative,5.846153846153846
Alaska,1,6.498194945848375,4.696132596685083,3.636363636363636,7.096774193548387,5.422993492407809,7.587548638132296,6.666666666666667,4.73559589581689,Positive,5.279503105590062
Arizona,1,2.909090909090909,4.80225988700565,1.5037593984962403,3.8666666666666663,5.204460966542751,3.3632286995515694,1.9230769230769231,4.130434782608695,Anxiety,18.17585848074922
Arizona,1,2.909090909090909,4.80225988700565,1.5037593984962403,3.8666666666666663,5.204460966542751,3.3632286995515694,1.9230769230769231,4.130434782608695,Depression,15.514568158168574
Arizona,1,2.909090909090909,4.80225988700565,1.5037593984962403,3.8666666666666663,5.204460966542751,3.3632286995515694,1.9230769230769231,4.130434782608695,Covid Cases,0.0397927194418579
Arizona,1,2.909090909090909,4.80225988700565,1.5037593984962403,3.8666666666666663,5.204460966542751,3.3632286995515694,1.9230769230769231,4.130434782608695,Covid Deaths,0.0856358054613023
Arizona,1,2.909090909090909,4.80225988700565,1.5037593984962403,3.8666666666666663,5.204460966542751,3.3632286995515694,1.9230769230769231,4.130434782608695,Negative,3.209109730848861
Arizona,1,2.909090909090909,4.80225988700565,1.5037593984962403,3.8666666666666663,5.204460966542751,3.3632286995515694,1.9230769230769231,4.130434782608695,Positive,5.301556420233463
Arkansas,1,4.197530864197531,6.39344262295082,5.128205128205129,4.572271386430678,7.589285714285715,4.8076923076923075,5.319148936170213,4.591368227731864,Anxiety,20.946067415730337
Arkansas,1,4.197530864197531,6.39344262295082,5.128205128205129,4.572271386430678,7.589285714285715,4.8076923076923075,5.319148936170213,4.591368227731864,Depression,17.864044943820225
Arkansas,1,4.197530864197531,6.39344262295082,5.128205128205129,4.572271386430678,7.589285714285715,4.8076923076923075,5.319148936170213,4.591368227731864,Covid Cases,0.0414848994511894
Arkansas,1,4.197530864197531,6.39344262295082,5.128205128205129,4.572271386430678,7.589285714285715,4.8076923076923075,5.319148936170213,4.591368227731864,Covid Deaths,0.0493360168476587
Arkansas,1,4.197530864197531,6.39344262295082,5.128205128205129,4.572271386430678,7.589285714285715,4.8076923076923075,5.319148936170213,4.591368227731864,Negative,5.257936507936508
Arkansas,1,4.197530864197531,6.39344262295082,5.128205128205129,4.572271386430678,7.589285714285715,4.8076923076923075,5.319148936170213,4.591368227731864,Positive,5.809859154929577
California,1,3.2367972742759794,4.380341880341881,4.269293924466338,3.861003861003861,3.1135531135531136,4.897418927862343,2.920723226703755,2.5411061285500747,Anxiety,23.458088851634535
California,1,3.2367972742759794,4.380341880341881,4.269293924466338,3.861003861003861,3.1135531135531136,4.897418927862343,2.920723226703755,2.5411061285500747,Depression,19.735331098072088
California,1,3.2367972742759794,4.380341880341881,4.269293924466338,3.861003861003861,3.1135531135531136,4.897418927862343,2.920723226703755,2.5411061285500747,Covid Cases,0.0615479632941357
California,1,3.2367972742759794,4.380341880341881,4.269293924466338,3.861003861003861,3.1135531135531136,4.897418927862343,2.920723226703755,2.5411061285500747,Covid Deaths,0.159477838789778
California,1,3.2367972742759794,4.380341880341881,4.269293924466338,3.861003861003861,3.1135531135531136,4.897418927862343,2.920723226703755,2.5411061285500747,Negative,4.3760683760683765
California,1,3.2367972742759794,4.380341880341881,4.269293924466338,3.861003861003861,3.1135531135531136,4.897418927862343,2.920723226703755,2.5411061285500747,Positive,4.068209500609013
